iter	RMSE
0	12.09312884
1	11.92863284
2	11.6897361
3	11.43564741
4	11.27083762
5	11.10863774
6	10.87172019
7	10.69144638
8	10.46818511
9	10.25013325
10	10.09363111
11	9.941336727
12	9.737476307
13	9.572264098
14	9.403144926
15	9.280457646
16	9.142350182
17	9.001361234
18	8.848259256
19	8.671552831
20	8.515240192
21	8.394595226
22	8.228107179
23	8.113790577
24	8.002736208
25	7.860651928
26	7.736376896
27	7.601118847
28	7.493828521
29	7.398765478
30	7.287211026
31	7.187152131
32	7.083335399
33	6.982291738
34	6.883825759
35	6.769435562
36	6.643361191
37	6.521540166
38	6.432777454
39	6.352367734
40	6.270963053
41	6.183793165
42	6.081649824
43	6.0056292
44	5.931060523
45	5.855136404
46	5.775852805
47	5.70296805
48	5.606441498
49	5.529571249
50	5.456738379
51	5.373113321
52	5.285796482
53	5.212671987
54	5.135868704
55	5.067141362
56	4.998376652
57	4.935063932
58	4.869183578
59	4.808318783
60	4.739148297
61	4.656581604
62	4.588206384
63	4.532684245
64	4.47541229
65	4.409314947
66	4.344603948
67	4.279991795
68	4.22606637
69	4.164538884
70	4.108950072
71	4.056804355
72	4.005119302
73	3.953918236
74	3.904291767
75	3.855488119
76	3.7940774
77	3.739188271
78	3.6923996
79	3.645569742
80	3.598900435
81	3.55443583
82	3.509792699
83	3.463419028
84	3.420062181
85	3.369493416
86	3.32718769
87	3.285597843
88	3.244348269
89	3.203318026
90	3.16327655
91	3.123735593
92	3.084459208
93	3.045477037
94	3.004993922
95	2.967036235
96	2.931142689
97	2.894460146
98	2.857591766
99	2.821486634
