iter	Passed	Remaining
0	1	140
1	2	113
2	3	103
3	3	88
4	4	92
5	5	86
6	5	79
7	6	78
8	7	75
9	8	72
10	8	70
11	9	71
12	10	69
13	11	68
14	11	67
15	12	65
16	13	65
17	14	65
18	15	64
19	15	62
20	16	61
21	17	60
22	17	59
23	18	59
24	19	59
25	20	58
26	21	57
27	21	56
28	22	54
29	23	55
30	24	54
31	25	54
32	26	53
33	27	53
34	28	52
35	28	51
36	29	49
37	29	48
38	30	48
39	31	47
40	32	47
41	33	46
42	34	45
43	35	45
44	36	44
45	37	44
46	38	43
47	39	43
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	46	34
57	47	34
58	48	33
59	49	33
60	50	32
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	55	27
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	63	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	76	8
90	77	7
91	79	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
